z,Ex,Ey,Ez,Bx,By,Bz,Jx,Jy,Jz
0.727728,0,0,0,9.28311e-12,-6.18332e-13,6.18332e-13,0,0,0
0.728729,0.00725945,-0.0183269,0,0,0,0,-0.000540414,0.00172881,0
0.72973,0,0,0,1.16776e-12,1.61287e-12,-1.61287e-12,0,0,0
0.730731,-0.0027349,0.0130246,0,0,0,0,-0.000532314,0.00123669,0
0.731732,0,0,0,9.71054e-12,2.63174e-11,-2.63174e-11,0,0,0
0.732733,0.00990674,-0.00689235,0,0,0,0,-0.0019051,0.00217955,0
0.733734,0,0,0,-4.53137e-11,-8.88187e-12,8.88187e-12,0,0,0
0.734735,-0.00517079,0.0106626,0,0,0,0,-0.00103044,-0.000783511,0
0.735736,0,0,0,5.49393e-11,9.56095e-12,-9.56095e-12,0,0,0
0.736737,-0.0024214,-0.0145973,0,0,0,0,-0.00148178,0.00249604,0
0.737738,0,0,0,-2.59065e-11,-3.68007e-11,3.68007e-11,0,0,0
0.738739,-0.00255708,0.0029635,0,0,0,0,0.000567834,0.000455784,0
0.73974,0,0,0,3.75658e-11,2.94542e-11,-2.94542e-11,0,0,0
0.740741,0.00193868,0.00755066,0,0,0,0,-0.00115663,0.00248981,0
0.741742,0,0,0,-7.55167e-11,-1.44516e-11,1.44516e-11,0,0,0
0.742743,0.0030582,0.00203329,0,0,0,0,-7.50904e-05,-0.0018354,0
0.743744,0,0,0,5.34685e-11,1.11166e-11,-1.11166e-11,0,0,0
0.744745,-0.0105422,0.00107786,0,0,0,0,-0.000567636,0.000857529,0
0.745746,0,0,0,-2.3192e-11,-4.03028e-11,4.03028e-11,0,0,0
0.746747,-0.00039514,-0.0121059,0,0,0,0,0.00153065,-0.000666782,0
0.747748,0,0,0,4.02975e-11,-1.21191e-12,1.21191e-12,0,0,0
0.748749,-0.00798412,0.0131091,0,0,0,0,0.00131964,0.000955425,0
0.74975,0,0,0,-3.71037e-11,-8.82709e-12,8.82709e-12,0,0,0
0.750751,0.00807832,-0.010724,0,0,0,0,0.00158566,-0.000942778,0
0.751752,0,0,0,2.39696e-11,2.1678e-12,-2.1678e-12,0,0,0
0.752753,-0.00530185,0.0117619,0,0,0,0,0.00128679,-0.000224784,0
0.753754,0,0,0,-1.03907e-11,9.85351e-13,-9.85351e-13,0,0,0
0.754755,0.00734309,-0.012205,0,0,0,0,0.000870422,-0.000646179,0
0.755756,0,0,0,-1.08972e-12,-1.47517e-11,1.47517e-11,0,0,0
0.756757,-0.00602861,0.0136724,0,0,0,0,0.00133342,-0.00130922,0
0.757758,0,0,0,7.375e-12,-3.98111e-12,3.98111e-12,0,0,0
0.758759,0.00288821,-0.0152339,0,0,0,0,0.00101103,-0.00053285,0
0.75976,0,0,0,4.33234e-12,-2.34114e-11,2.34114e-11,0,0,0
0.760761,-0.000990207,0.00985256,0,0,0,0,0.00167287,-0.000692415,0
0.761762,0,0,0,4.62547e-12,2.50538e-11,-2.50538e-11,0,0,0
0.762763,0.00869424,-0.00256575,0,0,0,0,-0.000343934,6.498e-05,0
0.763764,0,0,0,-4.63146e-11,4.85045e-12,-4.85045e-12,0,0,0
0.764765,0.00240351,0.0135986,0,0,0,0,-0.00098096,-0.00238691,0
0.765766,0,0,0,1.80384e-12,1.22014e-11,-1.22014e-11,0,0,0
0.766767,-0.00392436,-0.0128004,0,0,0,0,-0.00195432,-0.00150223,0
0.767768,0,0,0,-1.79313e-11,-3.73978e-11,3.73978e-11,0,0,0
0.768769,-0.00263113,-0.00356165,0,0,0,0,-0.000441904,-0.00223417,0
0.76977,0,0,0,6.27535e-12,-1.2218e-11,1.2218e-11,0,0,0
0.770771,0.00384017,-0.0049836,0,0,0,0,-0.000270576,-0.00115376,0
0.771772,0,0,0,-3.87079e-11,-9.91877e-12,9.91877e-12,0,0,0
0.772773,0.0098874,0.0120306,0,0,0,0,4.62112e-05,-0.0026155,0
0.773774,0,0,0,2.29426e-11,1.40378e-11,-1.40378e-11,0,0,0
0.774775,-0.000493558,0.00280542,0,0,0,0,-0.000441403,-0.00022048,0
0.775776,0,0,0,1.79747e-11,1.42824e-11,-1.42824e-11,0,0,0
0.776777,-0.00648876,0.00654408,0,0,0,0,-0.000900123,0.00168009,0
0.777778,0,0,0,2.13248e-11,2.07246e-11,-2.07246e-11,0,0,0
0.778779,-0.00915593,-0.00885564,0,0,0,0,-0.00145386,0.00395314,0
0.77978,0,0,0,-4.85731e-11,1.49821e-11,-1.49821e-11,0,0,0
0.780781,-0.00223879,-0.010708,0,0,0,0,-0.00160546,0.001888,0
0.781782,0,0,0,-3.12426e-11,-3.74302e-12,3.74302e-12,0,0,0
0.782783,0.0044551,-0.0215325,0,0,0,0,-0.00054044,0.000588269,0
0.783784,0,0,0,-2.53154e-11,1.64195e-11,-1.64195e-11,0,0,0
0.784785,0.00387936,0.0081891,0,0,0,0,-0.000737842,-0.00100687,0
0.785786,0,0,0,3.01185e-11,4.04431e-11,-4.04431e-11,0,0,0
0.786787,0.00487975,0.0136811,0,0,0,0,-0.00210161,0.00107919,0
0.787788,0,0,0,5.15477e-12,3.91431e-11,-3.91431e-11,0,0,0
0.788789,-0.00223031,0.0213589,0,0,0,0,-0.00303049,0.00157394,0
0.78979,0,0,0,2.68736e-11,-2.34955e-11,2.34955e-11,0,0,0
0.790791,0.00710409,-0.0131471,0,0,0,0,-0.000256684,0.0032522,0
0.791792,0,0,0,-2.94536e-11,-5.50059e-11,5.50059e-11,0,0,0
0.792793,-0.0016018,0.00291016,0,0,0,0,0.00414021,0.000228956,0
0.793794,0,0,0,2.49776e-11,-6.20674e-13,6.20674e-13,0,0,0
0.794795,0.00102291,0.000616918,0,0,0,0,0.00489627,0.000464364,0
