z,Ex,Ey,Ez,Bx,By,Bz,Jx,Jy,Jz
0.172172,-0.00852567,0.00465104,0,0,0,0,0.000701364,-0.000555579,0
0.173173,0,0,0,-4.75729e-12,-5.96438e-12,5.96438e-12,0,0,0
0.174174,0.00403797,-0.00157642,0,0,0,0,0.000861067,-0.000595071,0
0.175175,0,0,0,1.20674e-11,2.35331e-11,-2.35331e-11,0,0,0
0.176176,0.00333859,-0.00220818,0,0,0,0,-0.000348429,5.05923e-05,0
0.177177,0,0,0,-2.01476e-12,-8.70579e-12,8.70579e-12,0,0,0
0.178178,-0.00857809,0.00382686,0,0,0,0,0.000214251,-0.000197098,0
0.179179,0,0,0,-1.35888e-11,-2.73058e-11,2.73058e-11,0,0,0
0.18018,-0.00400306,0.00219461,0,0,0,0,0.00156017,-0.000797773,0
0.181181,0,0,0,4.79206e-12,1.02892e-11,-1.02892e-11,0,0,0
0.182182,0.00697018,-0.00386032,0,0,0,0,0.000919927,-0.000347478,0
0.183183,0,0,0,1.24752e-11,1.98767e-11,-1.98767e-11,0,0,0
0.184184,0.000475633,-0.00112419,0,0,0,0,-2.84033e-05,0.000237008,0
0.185185,0,0,0,-6.98746e-12,-1.78046e-11,1.78046e-11,0,0,0
0.186186,-0.00803613,0.00399592,0,0,0,0,0.000970753,-0.000216317,0
0.187187,0,0,0,-9.96557e-12,-1.7741e-11,1.7741e-11,0,0,0
0.188188,0.000900024,-1.67919e-05,0,0,0,0,0.00179323,-0.000554088,0
0.189189,0,0,0,1.05368e-11,2.10369e-11,-2.10369e-11,0,0,0
0.19019,0.00872481,-0.00460927,0,0,0,0,0.000651909,0.000147636,0
0.191191,0,0,0,1.04289e-11,1.69837e-11,-1.69837e-11,0,0,0
0.192192,-0.000143415,8.51191e-05,0,0,0,0,-0.000115271,0.000576185,0
0.193193,0,0,0,-1.03144e-11,-1.84425e-11,1.84425e-11,0,0,0
0.194194,-0.00584084,0.00427942,0,0,0,0,0.000892811,-1.79093e-05,0
0.195195,0,0,0,-8.49963e-12,-8.97148e-12,8.97148e-12,0,0,0
0.196196,0.00418123,-0.00056454,0,0,0,0,0.00126962,-0.000268838,0
0.197197,0,0,0,1.14594e-11,2.66092e-11,-2.66092e-11,0,0,0
0.198198,0.00980467,-0.00410587,0,0,0,0,-0.000117088,0.000428759,0
0.199199,0,0,0,7.64901e-12,1.68849e-11,-1.68849e-11,0,0,0
0.2002,0.000260253,0.00133191,0,0,0,0,-0.000862681,0.000671688,0
0.201201,0,0,0,-1.34256e-11,-1.68749e-11,1.68749e-11,0,0,0
0.202202,-0.00494965,0.00529065,0,0,0,0,6.90289e-05,-0.00010167,0
0.203203,0,0,0,-1.07771e-11,-7.29775e-12,7.29775e-12,0,0,0
0.204204,0.00421256,0.000301878,0,0,0,0,0.000386893,-0.000501247,0
0.205205,0,0,0,9.50305e-12,2.56012e-11,-2.56012e-11,0,0,0
0.206206,0.00936987,-0.00358135,0,0,0,0,-0.000922043,6.25054e-05,0
0.207207,0,0,0,7.27391e-12,1.72264e-11,-1.72264e-11,0,0,0
0.208208,0.000195205,0.00133374,0,0,0,0,-0.0016745,0.000254915,0
0.209209,0,0,0,-1.36773e-11,-1.70882e-11,1.70882e-11,0,0,0
0.21021,-0.00657258,0.00570447,0,0,0,0,-0.000707801,-0.00058694,0
0.211211,0,0,0,-1.3661e-11,-1.47639e-11,1.47639e-11,0,0,0
0.212212,0.000539856,0.00104566,0,0,0,0,2.3738e-05,-0.00118217,0
0.213213,0,0,0,8.16287e-12,1.67598e-11,-1.67598e-11,0,0,0
0.214214,0.00719137,-0.00459441,0,0,0,0,-0.000833795,-0.000674688,0
0.215215,0,0,0,1.31695e-11,1.74907e-11,-1.74907e-11,0,0,0
0.216216,0.00044989,-0.00167698,0,0,0,0,-0.0016194,-0.000162167,0
0.217217,0,0,0,-5.96108e-12,-1.52343e-11,1.52343e-11,0,0,0
0.218218,-0.00836635,0.00370042,0,0,0,0,-0.000741818,-0.00066427,0
0.219219,0,0,0,-1.30566e-11,-2.51666e-11,2.51666e-11,0,0,0
0.22022,-0.00465002,0.0010106,0,0,0,0,0.000528828,-0.00128753,0
0.221221,0,0,0,6.92416e-12,2.73173e-12,-2.73173e-12,0,0,0
0.222222,0.00442255,-0.00619841,0,0,0,0,0.000339932,-0.000789688,0
0.223223,0,0,0,2.22417e-11,1.94577e-11,-1.94577e-11,0,0,0
0.224224,0.00329473,-0.00659705,0,0,0,0,-0.000630355,0.000285669,0
0.225225,0,0,0,9.07211e-12,-2.461e-12,2.461e-12,0,0,0
0.226226,-0.00577557,-0.00019411,0,0,0,0,-0.000457579,0.000533874,0
0.227227,0,0,0,-9.30127e-12,-2.54272e-11,2.54272e-11,0,0,0
0.228228,-0.00752822,0.00207825,0,0,0,0,0.000800202,1.55307e-06,0
0.229229,0,0,0,-2.12193e-12,-1.146e-11,1.146e-11,0,0,0
0.23023,0.00111377,-0.00351396,0,0,0,0,0.00126748,5.12523e-05,0
0.231231,0,0,0,1.89686e-11,1.77564e-11,-1.77564e-11,0,0,0
0.232232,0.00696602,-0.00768267,0,0,0,0,0.000269083,0.00111082,0
0.233233,0,0,0,1.93475e-11,1.82535e-11,-1.82535e-11,0,0,0
