z,Ex,Ey,Ez,Bx,By,Bz,Jx,Jy,Jz
0.126126,0.00531042,-0.00742997,0,0,0,0,0.000327958,-0.000738938,0
0.127127,0,0,0,4.01128e-11,3.76417e-11,-3.76417e-11,0,0,0
0.128128,0.00426693,-0.00300578,0,0,0,0,-0.00153618,0.000507297,0
0.129129,0,0,0,-7.39154e-12,-1.45155e-11,1.45155e-11,0,0,0
0.13013,-0.00516818,0.00213844,0,0,0,0,-0.000304836,-0.000756954,0
0.131131,0,0,0,2.01211e-11,5.15259e-12,-5.15259e-12,0,0,0
0.132132,0.002906,-0.00681061,0,0,0,0,-0.0003037,-7.80515e-05,0
0.133133,0,0,0,8.28752e-12,2.62906e-12,-2.62906e-12,0,0,0
0.134134,-0.00201945,0.00319342,0,0,0,0,4.16402e-05,-0.00023587,0
0.135135,0,0,0,3.54178e-13,1.29306e-11,-1.29306e-11,0,0,0
0.136136,0.00728853,-0.00613172,0,0,0,0,-0.000211407,-0.000361933,0
0.137137,0,0,0,2.40338e-11,1.65823e-11,-1.65823e-11,0,0,0
0.138138,-0.00645282,-7.46285e-05,0,0,0,0,-0.000523856,0.000583272,0
0.139139,0,0,0,-2.15364e-11,-2.93698e-11,2.93698e-11,0,0,0
0.14014,-0.00119304,0.00358921,0,0,0,0,0.00140494,-0.000643604,0
0.141141,0,0,0,1.84091e-11,4.52836e-11,-4.52836e-11,0,0,0
0.142142,0.0144221,-0.0107847,0,0,0,0,-0.000740752,0.000625214,0
0.143143,0,0,0,1.14053e-11,6.13265e-12,-6.13265e-12,0,0,0
0.144144,-0.0146767,0.00699877,0,0,0,0,-0.000463245,0.000894685,0
0.145145,0,0,0,-3.39759e-11,-4.27517e-11,4.27517e-11,0,0,0
0.146146,0.00235994,0.000500136,0,0,0,0,0.00187416,-0.000571421,0
0.147147,0,0,0,3.01624e-11,5.96245e-11,-5.96245e-11,0,0,0
0.148148,0.0145142,-0.00999691,0,0,0,0,-0.00120847,0.00140288,0
0.149149,0,0,0,-4.52791e-12,-6.53439e-12,6.53439e-12,0,0,0
0.15015,-0.0159952,0.00979174,0,0,0,0,-0.000406701,0.000864594,0
0.151151,0,0,0,-2.82494e-11,-3.70252e-11,3.70252e-11,0,0,0
0.152152,0.00354855,-0.00221391,0,0,0,0,0.00140538,-0.000155019,0
